GLITTER! 4.5b1: Laser Ablation Analysis Results

G:\2017-04-20 EMP UPDATED Windows reselected- Do not edit pre 29.09.17 612 standard\run4a.b
Created: Fri Sep 29 18:25:28 2017

All values are reported in ppm

GLITTER!: Trace Element Concentrations MDL filtered.
Element,STD610-07,STD610-08,612-07,612-08,BCR-2g-04,SCO-1-04,SCO-2-04,LK1-1,LK1-2,LK1-3,LK1-4,LK1-5,LK1-6,LK1-7,LK1-8,LK1-9,LK1-10,STD610-09,STD610-10,612-09,612-10,BCR-2g-05,SCO-1-05,SCO-2-05
Y89,462.19,460.74,38.53,38.04,28.82,0.0332,0.0558,0.0131,0.0128,0.0108,0.0130,0.0112,0.0139,0.0034,<0.0029,0.00219,0.0038,454.75,455.27,38.21,38.42,29.56,0.0215,0.0444
Zr90,437.75,437.23,38.05,37.75,156.96,0.065,0.039,0.0780,0.0907,0.0946,0.0950,0.0951,0.1102,0.114,0.272,0.199,0.663,434.87,437.37,37.59,38.26,154.90,0.042,0.0347
Nb93,459.16,468.67,38.89,38.95,12.90,0.0159,0.0040,0.0106,0.0161,0.0203,0.0173,0.0141,0.0112,0.0619,0.296,0.352,0.578,456.05,464.39,38.41,39.47,12.98,<0.0043,0.0047
Ba135,453.30,462.51,39.22,39.40,695.60,<0.059,<0.079,0.0088,<0.063,0.0262,<0.040,<0.040,<0.044,<0.048,0.0075,<0.035,<0.033,438.36,454.20,39.19,39.42,686.90,<0.078,0.068
Ba137,440.98,450.93,39.80,38.78,675.85,<0.119,0.0151,<0.0148,<0.0231,0.0105,<0.0183,0.0322,<0.0124,<0.0237,<0.0127,<0.0195,<0.0186,424.96,442.05,38.71,40.01,676.63,<0.044,<0.029
La139,432.42,432.80,35.89,36.13,23.35,<0.0049,0.0015,<0.0022,<0.0028,0.00125,<0.0027,0.00095,0.00185,<0.0035,<0.0042,<0.0036,<0.0028,429.23,438.21,35.95,36.05,23.90,<0.0106,0.0051
Ce140,447.31,453.80,38.78,37.99,51.03,0.0036,<0.0063,<0.0034,0.00129,<0.00205,0.00150,<0.0021,<0.0029,0.00078,0.0050,<0.00160,<0.00152,442.56,454.47,38.15,38.71,51.85,<0.0063,<0.0075
Gd157,452.48,449.39,37.02,37.66,5.73,<0.048,<0.039,<0.0108,0.0016,<0.0158,<0.0133,0.0046,<0.0127,<0.0140,<0.0224,<0.0223,0.0081,434.83,435.67,36.94,37.70,5.64,0.0076,0.0174
Yb172,472.78,466.38,38.90,39.53,2.96,<0.030,0.0277,<0.0152,<0.0106,0.0106,<0.0133,<0.0060,<0.0099,0.0073,<0.0058,<0.0064,0.0042,460.54,464.96,39.54,38.81,2.91,<0.0145,0.0206

GLITTER!: Trace Element Concentrations, Not filtered for MDL.
Element,STD610-07,STD610-08,612-07,612-08,BCR-2g-04,SCO-1-04,SCO-2-04,LK1-1,LK1-2,LK1-3,LK1-4,LK1-5,LK1-6,LK1-7,LK1-8,LK1-9,LK1-10,STD610-09,STD610-10,612-09,612-10,BCR-2g-05,SCO-1-05,SCO-2-05
Li7,464.82,466.28,39.72,40.84,9.96,1.629,2.45,2.90,2.88,2.801,2.89,2.85,2.741,1.918,2.558,1.806,2.670,462.63,468.97,39.50,41.01,9.91,1.650,2.45
B11,191.84,193.94,33.79,34.97,18.78,20.62,20.24,16.47,15.37,15.24,14.18,14.03,14.74,14.73,13.99,15.00,15.03,207.20,208.98,33.71,34.97,17.73,18.89,18.48
Na23,99961.33,101987.35,100317.77,103360.57,24568.27,40.21,102.80,300.50,239.71,230.99,237.68,237.79,231.30,130.38,80.23,109.94,84.80,99937.31,102962.18,100013.78,103479.96,24350.63,40.50,100.83
Mg24,490.02,497.40,67.28,68.92,24608.84,363730.19,362001.06,349868.19,337365.00,340655.69,335660.94,342043.84,334199.28,363948.44,310363.72,372289.13,367688.78,478.17,500.48,67.15,68.95,24994.50,363407.75,353137.81
Mg25,506.68,523.39,66.29,70.06,25498.35,391088.38,388605.06,378804.06,364753.34,366223.59,360975.69,361298.31,367022.94,401073.00,339430.09,392494.78,391969.94,499.86,530.16,68.79,67.01,25652.83,392402.97,380772.44
Mg26,479.83,515.19,66.50,70.03,25442.50,380001.91,381829.50,365872.09,354697.78,359162.94,354800.44,363211.97,357916.72,387194.59,337391.97,394872.16,390067.41,511.12,524.43,66.15,70.22,26817.28,392155.97,386925.22
Al27,10030.92,10124.08,10708.64,10789.61,76328.16,68.18,132.01,157.40,109.73,112.50,105.47,103.77,110.30,37.66,6.90,21.93,18.57,10141.56,10191.64,10671.30,10824.53,77367.73,68.89,131.97
Si29,320526.97,321401.44,333508.03,341483.81,269343.38,193286.19,193286.19,192912.25,190341.33,191135.98,191229.45,190902.23,190575.03,194034.06,187396.44,193940.61,195109.20,317144.22,323362.97,334696.97,339502.56,267020.72,193286.14,193286.16
Si30,306358.22,309299.16,328365.06,348665.19,266919.34,203681.22,201468.88,182995.86,184495.44,182024.72,180710.72,181034.83,182090.56,188284.05,175297.89,185717.94,187484.17,305631.47,316164.38,332897.66,341314.25,263814.75,202844.50,198619.48
P31,373.79,369.49,44.24,50.10,1349.35,14.11,24.72,32.78,41.22,40.57,44.78,46.44,43.49,17.50,47.15,65.68,83.29,418.13,418.03,44.70,48.87,1535.85,18.38,25.00
Ca43,81905.45,81905.45,85049.41,85049.41,51029.65,419.11,545.59,362.92,299.13,281.89,295.69,283.07,308.79,146.93,82.36,74.77,61.68,81905.43,81905.43,85049.39,85049.40,51029.64,318.27,447.81
Ca44,79892.42,81272.14,84913.48,85225.13,50626.83,726.50,879.17,706.75,640.79,645.75,645.58,633.46,634.94,512.63,439.06,448.17,430.32,81258.66,82816.73,84794.63,85329.21,51622.70,721.30,816.14
Sc45,389.65,394.63,39.83,39.99,31.13,6.63,5.60,5.07,5.00,4.98,4.72,4.82,4.83,4.54,4.65,4.49,4.53,394.53,400.35,39.83,39.98,31.96,6.36,5.18
Ti47,450.88,454.65,43.88,44.19,14195.00,7.30,38.37,104.61,133.37,135.79,128.73,128.72,134.91,58.79,101.94,74.63,83.44,470.32,468.54,43.32,44.76,14627.52,7.80,40.39
Ti49,490.29,494.66,43.30,44.92,15329.86,6.88,38.52,109.58,143.09,145.42,137.68,139.07,146.06,60.65,107.48,79.41,91.06,496.17,509.15,43.48,44.56,16077.42,7.71,40.79
V51,460.13,460.62,38.44,39.25,455.75,3.28,6.49,14.02,13.62,13.58,13.62,13.71,13.47,6.94,3.95,5.86,3.65,460.80,466.59,38.60,39.01,459.25,3.26,6.15
Cr53,406.11,401.06,36.99,35.79,14.64,139.87,265.92,243.07,165.36,159.17,160.46,165.03,168.34,328.54,59.51,269.91,177.81,414.61,422.32,35.37,37.68,16.58,143.70,268.35
Mn55,440.43,444.56,38.43,39.08,1604.98,1133.85,980.91,1163.18,1269.29,1234.57,1271.11,1311.06,1230.53,1078.45,1831.47,925.43,995.83,437.90,447.92,37.93,39.61,1628.90,1125.19,968.16
Co59,431.04,428.23,34.97,36.16,41.21,156.95,161.14,183.68,195.31,190.40,194.29,196.92,193.90,164.16,178.46,148.40,160.63,417.94,424.50,35.11,35.91,40.70,152.93,153.05
Ni60,460.63,467.44,37.86,39.98,12.72,3220.35,3399.08,3234.79,2965.09,2894.11,2944.81,2998.08,2900.71,3602.15,1308.65,3266.26,3483.47,464.10,474.74,38.50,39.08,13.07,3259.86,3293.93
