GLITTER! 4.5b1: Laser Ablation Analysis Results

G:\For Edit 2017-05-05 EMP UPDATED windoes reselected\Run 5.b
Created: Fri Sep 29 17:56:42 2017

All values are reported in ppm

GLITTER!: Trace Element Concentrations MDL filtered.
Element,STD610-9,STD610-10,612-9,612-10,BCR-2G-4,SCO-1-4,SCO-2-4,10-1,10-2,10-3,10-4,10-5,10-6,10-7,10-8,10-9,10-10,STD610-11,STD610-12,612-11,612-12,BCR-2G-5,SCO-1-5,SCO-2-5
Mg25,461.44,458.68,60.15,57.20,21499.98,349438.31,344672.06,279185.22,283456.13,281707.03,271524.63,275949.00,275033.59,273454.03,275230.03,279261.50,280540.19,455.94,458.06,59.98,58.30,21499.98,346533.59,339054.50
Mg26,460.71,460.23,59.88,60.03,21499.99,344830.47,343912.28,277488.75,282222.34,280275.75,269237.00,277017.00,278288.19,268318.44,272088.69,275838.19,274964.06,448.87,448.93,61.81,59.17,21499.99,343023.00,332699.38
Al27,9435.49,9226.09,9892.04,9974.02,70899.97,66.66,130.12,124.01,123.57,116.55,121.99,115.01,109.89,114.25,119.85,132.77,117.37,9495.53,9458.42,10100.63,10005.17,70899.98,64.14,127.61
Si29,323135.59,311888.50,324077.31,328213.94,254299.84,193286.16,193286.14,182628.55,183329.69,184077.59,182581.81,183750.42,184077.63,183703.67,184124.36,183142.75,183002.52,313845.38,311464.66,328778.28,324654.91,254299.95,193286.19,193286.20
Si30,309736.63,306953.16,323230.84,324263.59,254299.83,202284.94,200939.95,183051.14,184289.98,184909.98,182525.05,179311.03,180753.06,179252.05,181397.03,195913.36,184293.91,310336.28,306963.09,335509.41,328917.31,254299.88,206774.20,202597.53
P31,491.31,462.96,55.70,58.97,1600.00,20.56,33.11,143.46,179.77,174.25,172.46,164.48,162.19,182.00,204.53,134.44,148.69,470.54,468.86,58.10,57.71,1600.00,22.82,34.57
Ca43,81905.43,81905.42,84692.04,84692.05,50499.97,308.19,466.30,1323.62,1198.71,1264.45,1366.70,1226.45,1249.56,1182.44,1225.60,1610.51,1348.90,81905.44,81905.44,84692.05,84692.06,50499.98,363.32,532.39
Ca44,81762.34,81314.81,84778.69,85394.05,50499.98,705.99,856.26,1742.68,1631.57,1616.67,1740.11,1609.94,1632.23,1512.77,1532.79,1817.71,1654.49,83118.98,82515.95,85361.11,85664.03,50499.99,746.84,853.26
Sc45,446.27,438.69,41.76,42.22,33.00,5.51,4.54,7.19,6.84,6.80,7.00,6.67,6.45,6.49,6.48,7.19,6.70,451.88,451.17,42.35,41.77,33.00,5.80,4.65
Ti47,463.41,446.09,39.48,42.17,14099.99,5.63,38.29,137.13,139.54,133.06,154.66,138.24,124.37,136.91,151.20,150.03,129.89,457.84,459.55,44.59,43.58,14100.00,6.31,36.75
Ti49,456.42,454.26,41.01,39.75,14099.99,5.03,37.52,136.68,140.18,130.08,154.56,138.12,124.91,138.95,150.20,147.57,129.88,461.33,457.42,41.91,39.94,14100.00,5.98,37.96
V51,461.43,448.88,37.33,37.39,425.00,3.31,6.29,7.14,8.20,7.87,7.30,7.82,7.42,8.14,8.61,7.04,7.65,449.80,456.30,38.36,38.07,425.00,3.27,6.31
Cr53,484.08,470.36,39.09,40.19,17.00,163.32,308.74,56.92,44.61,43.13,51.68,46.35,60.34,44.44,40.78,49.40,68.82,484.19,482.03,43.14,41.64,17.00,163.13,311.67
Mn55,454.86,447.79,38.26,38.31,1550.00,1146.25,988.84,3105.08,3105.14,3086.40,3034.65,3125.07,3161.11,3016.21,3082.11,2828.92,3000.79,447.45,446.81,38.71,38.18,1550.00,1147.33,985.14
Co59,415.40,402.05,33.70,33.88,38.00,151.92,152.27,208.97,220.49,217.36,203.50,215.73,219.35,213.02,212.52,193.14,214.25,409.81,416.56,34.42,33.97,38.00,153.53,154.16
Ni60,497.19,485.67,39.54,39.82,13.00,3415.40,3459.83,274.27,246.97,248.66,224.67,245.92,301.30,254.21,237.32,249.57,339.52,502.53,493.28,41.62,39.87,13.00,3479.81,3615.41
Ni62,385.57,375.27,29.56,29.00,13.00,2660.65,2727.05,214.29,195.67,196.27,179.86,195.18,238.24,196.57,185.25,201.69,267.78,394.09,389.21,32.54,33.22,13.00,2781.35,2841.38
Cu63,524.08,505.29,42.21,42.31,21.00,1.144,4.62,0.270,0.313,0.312,0.289,0.797,0.365,0.347,0.292,0.254,0.202,523.19,514.70,44.37,41.68,21.00,1.137,5.24
Zn66,346.05,332.27,28.30,27.77,125.00,44.32,50.23,138.34,129.76,131.15,134.76,141.23,141.08,135.55,133.15,125.20,136.33,330.83,321.34,27.59,26.84,125.00,42.44,50.73
Zn67,287.09,273.89,23.41,23.07,125.00,33.75,37.82,105.76,97.85,101.21,105.79,105.00,102.66,104.98,104.34,93.39,104.24,268.94,263.53,22.22,24.62,125.00,30.87,37.80
Ga69,163.09,153.44,12.84,12.56,23.00,0.0090,0.0335,0.0603,0.0564,0.0577,0.0551,0.0550,0.0542,0.0626,0.0654,0.0607,0.0498,148.87,145.51,12.28,12.02,23.00,0.0122,0.0364
Sr88,532.02,529.85,80.28,81.71,342.00,-0.0037,0.0059,0.0102,0.0116,0.0105,0.0062,0.0247,0.0146,0.0115,0.0064,0.0124,0.0070,534.82,535.27,82.22,82.82,342.00,-0.0050,0.0001
Y89,564.38,547.14,46.79,46.55,35.00,0.0408,0.0546,0.146,0.1390,0.1300,0.149,0.1251,0.1409,0.1165,0.1391,0.153,0.151,567.46,572.40,47.42,48.21,35.00,0.0447,0.0361
Zr90,512.94,503.03,43.66,43.70,184.00,0.091,0.071,0.076,0.0586,0.0664,0.0700,0.0514,0.0567,0.0617,0.0789,0.089,0.097,511.83,517.54,44.33,44.64,184.00,0.086,0.0396
Nb93,461.78,451.62,37.96,38.08,12.50,0.0081,0.0026,0.0011,0.0015,0.00007,0.0024,0.0038,0.00251,0.0024,0.0015,-0.0015,-0.0009,449.07,451.65,38.43,37.83,12.50,-0.0001,-0.0047
Ba135,457.00,448.03,38.96,40.26,683.00,-0.015,-0.073,0.002,0.018,-0.042,0.0117,0.021,0.030,0.000,0.010,-0.013,-0.015,451.31,446.18,40.45,39.49,683.00,0.003,0.065
Ba137,456.96,451.61,40.69,39.45,683.00,-0.040,0.005,0.002,-0.0038,0.0025,0.0136,0.0094,-0.0132,0.0091,0.0074,0.015,0.0142,451.64,451.20,39.93,39.80,683.00,-0.024,-0.015
La139,453.67,445.93,37.14,37.15,24.70,0.0016,-0.0021,0.00,0.00043,0.00074,-0.0013,0.0449,-0.0003,0.0014,0.00080,-0.0012,0.0037,451.91,457.66,38.15,37.80,24.70,0.00,0.0033
Ce140,484.28,467.71,40.01,40.73,53.30,-0.0038,-0.0022,0.00216,0.00284,0.0042,0.0097,0.0749,0.0228,0.00055,0.0060,0.0021,0.0225,471.93,475.27,40.02,40.17,53.30,0.0008,0.0033
Gd157,513.26,496.17,42.03,43.04,6.71,-0.018,0.0077,0.0116,-0.0113,0.0136,0.104,-0.0026,0.0075,-0.0065,-0.0063,0.0149,0.0006,483.98,492.34,41.01,41.48,6.71,-0.0073,0.0040
Yb172,540.03,527.49,46.11,45.07,3.39,0.0336,0.042,0.052,0.0426,0.0365,0.0501,0.0332,0.0401,0.0239,0.0402,0.036,0.0259,542.05,554.21,46.19,46.40,3.39,0.0242,0.008

GLITTER!: Trace Element Concentrations LOQ filtered.
Element,STD610-9,STD610-10,612-9,612-10,BCR-2G-4,SCO-1-4,SCO-2-4,10-1,10-2,10-3,10-4,10-5,10-6,10-7,10-8,10-9,10-10,STD610-11,STD610-12,612-11,612-12,BCR-2G-5,SCO-1-5,SCO-2-5
Li7,449.71,441.65,36.78,37.60,9.00,1.817,2.336,4.01,3.52,3.55,3.44,3.38,3.45,3.28,3.53,3.80,4.63,439.02,450.21,38.03,37.98,9.00,1.747,2.39
B11,153.89,144.84,17.71,16.95,6.00,5.24,4.99,15.34,12.35,10.98,11.01,8.98,8.31,7.32,7.00,8.54,6.57,105.43,102.80,14.36,13.46,6.00,5.71,5.14
Na23,106932.16,101848.62,102677.02,102640.87,23999.99,41.98,106.40,52.23,56.78,55.92,50.87,57.84,58.94,56.87,59.43,49.43,57.37,101995.84,104490.73,104258.28,103010.02,23999.99,41.48,106.52
Mg24,460.28,450.32,61.05,61.55,21499.99,330426.31,330309.34,266334.00,276119.03,267915.16,257951.09,265122.53,268307.34,255276.30,259826.81,267588.56,262738.50,448.09,443.62,61.67,60.52,21499.99,326461.81,322378.06
Mg25,461.44,458.68,60.15,57.20,21499.98,349438.31,344672.06,279185.22,283456.13,281707.03,271524.63,275949.00,275033.59,273454.03,275230.03,279261.50,280540.19,455.94,458.06,59.98,58.30,21499.98,346533.59,339054.50
Mg26,460.71,460.23,59.88,60.03,21499.99,344830.47,343912.28,277488.75,282222.34,280275.75,269237.00,277017.00,278288.19,268318.44,272088.69,275838.19,274964.06,448.87,448.93,61.81,59.17,21499.99,343023.00,332699.38
Al27,9435.49,9226.09,9892.04,9974.02,70899.97,66.66,130.12,124.01,123.57,116.55,121.99,115.01,109.89,114.25,119.85,132.77,117.37,9495.53,9458.42,10100.63,10005.17,70899.98,64.14,127.61
Si29,323135.59,311888.50,324077.31,328213.94,254299.84,193286.16,193286.14,182628.55,183329.69,184077.59,182581.81,183750.42,184077.63,183703.67,184124.36,183142.75,183002.52,313845.38,311464.66,328778.28,324654.91,254299.95,193286.19,193286.20
Si30,309736.63,306953.16,323230.84,324263.59,254299.83,202284.94,200939.95,183051.14,184289.98,184909.98,182525.05,179311.03,180753.06,179252.05,181397.03,195913.36,184293.91,310336.28,306963.09,335509.41,328917.31,254299.88,206774.20,202597.53
P31,491.31,462.96,55.70,58.97,1600.00,20.56,33.11,143.46,179.77,174.25,172.46,164.48,162.19,182.00,204.53,134.44,148.69,470.54,468.86,58.10,57.71,1600.00,22.82,34.57
Ca43,81905.43,81905.42,84692.04,84692.05,50499.97,308.19,466.30,1323.62,1198.71,1264.45,1366.70,1226.45,1249.56,1182.44,1225.60,1610.51,1348.90,81905.44,81905.44,84692.05,84692.06,50499.98,363.32,532.39
Ca44,81762.34,81314.81,84778.69,85394.05,50499.98,705.99,856.26,1742.68,1631.57,1616.67,1740.11,1609.94,1632.23,1512.77,1532.79,1817.71,1654.49,83118.98,82515.95,85361.11,85664.03,50499.99,746.84,853.26
Sc45,446.27,438.69,41.76,42.22,33.00,5.51,4.54,7.19,6.84,6.80,7.00,6.67,6.45,6.49,6.48,7.19,6.70,451.88,451.17,42.35,41.77,33.00,5.80,4.65
Ti47,463.41,446.09,39.48,42.17,14099.99,5.63,38.29,137.13,139.54,133.06,154.66,138.24,124.37,136.91,151.20,150.03,129.89,457.84,459.55,44.59,43.58,14100.00,6.31,36.75
Ti49,456.42,454.26,41.01,39.75,14099.99,5.03,37.52,136.68,140.18,130.08,154.56,138.12,124.91,138.95,150.20,147.57,129.88,461.33,457.42,41.91,39.94,14100.00,5.98,37.96
V51,461.43,448.88,37.33,37.39,425.00,3.31,6.29,7.14,8.20,7.87,7.30,7.82,7.42,8.14,8.61,7.04,7.65,449.80,456.30,38.36,38.07,425.00,3.27,6.31
Cr53,484.08,470.36,39.09,40.19,17.00,163.32,308.74,56.92,44.61,43.13,51.68,46.35,60.34,44.44,40.78,49.40,68.82,484.19,482.03,43.14,41.64,17.00,163.13,311.67
Mn55,454.86,447.79,38.26,38.31,1550.00,1146.25,988.84,3105.08,3105.14,3086.40,3034.65,3125.07,3161.11,3016.21,3082.11,2828.92,3000.79,447.45,446.81,38.71,38.18,1550.00,1147.33,985.14
Co59,415.40,402.05,33.70,33.88,38.00,151.92,152.27,208.97,220.49,217.36,203.50,215.73,219.35,213.02,212.52,193.14,214.25,409.81,416.56,34.42,33.97,38.00,153.53,154.16
Ni60,497.19,485.67,39.54,39.82,13.00,3415.40,3459.83,274.27,246.97,248.66,224.67,245.92,301.30,254.21,237.32,249.57,339.52,502.53,493.28,41.62,39.87,13.00,3479.81,3615.41
Ni62,385.57,375.27,29.56,29.00,13.00,2660.65,2727.05,214.29,195.67,196.27,179.86,195.18,238.24,196.57,185.25,201.69,267.78,394.09,389.21,32.54,33.22,13.00,2781.35,2841.38
Cu63,524.08,505.29,42.21,42.31,21.00,1.144,4.62,0.270,0.313,0.312,0.289,0.797,0.365,0.347,0.292,0.254,0.202,523.19,514.70,44.37,41.68,21.00,1.137,5.24
Zn66,346.05,332.27,28.30,27.77,125.00,44.32,50.23,138.34,129.76,131.15,134.76,141.23,141.08,135.55,133.15,125.20,136.33,330.83,321.34,27.59,26.84,125.00,42.44,50.73
Zn67,287.09,273.89,23.41,23.07,125.00,33.75,37.82,105.76,97.85,101.21,105.79,105.00,102.66,104.98,104.34,93.39,104.24,268.94,263.53,22.22,24.62,125.00,30.87,37.80
Ga69,163.09,153.44,12.84,12.56,23.00,<0.0167,0.0335,0.0603,0.0564,0.0577,0.0551,0.0550,0.0542,0.0626,0.0654,0.0607,0.0498,148.87,145.51,12.28,12.02,23.00,0.0122,0.0364
Sr88,532.02,529.85,80.28,81.71,342.00,<0.0402,<0.0143,<0.0137,0.0116,0.0105,<0.0094,0.0247,0.0146,0.0115,<0.0096,0.0124,0.0070,534.82,535.27,82.22,82.82,342.00,<0.0488,<0.0317
Y89,564.38,547.14,46.79,46.55,35.00,0.0408,0.0546,0.146,0.1390,0.1300,0.149,0.1251,0.1409,0.1165,0.1391,0.153,0.151,567.46,572.40,47.42,48.21,35.00,0.0447,<0.0584
Zr90,512.94,503.03,43.66,43.70,184.00,0.091,0.071,0.076,0.0586,0.0664,0.0700,0.0514,0.0567,0.0617,0.0789,0.089,0.097,511.83,517.54,44.33,44.64,184.00,0.086,0.0396
Nb93,461.78,451.62,37.96,38.08,12.50,<0.0124,<0.0176,<0.0084,<0.0113,<0.00583,<0.0116,0.0038,0.00251,<0.0128,<0.0117,<0.0196,<0.0185,449.07,451.65,38.43,37.83,12.50,<0.0283,<0.0473
Ba135,457.00,448.03,38.96,40.26,683.00,<0.230,<0.365,<0.111,<0.105,<0.188,0.0117,<0.123,<0.134,<0.107,<0.110,<0.211,<0.190,451.31,446.18,40.45,39.49,683.00,<0.237,0.065
Ba137,456.96,451.61,40.69,39.45,683.00,<0.267,<0.095,<0.091,<0.0612,0.0025,0.0136,<0.0413,<0.0900,<0.0439,0.0074,<0.087,0.0142,451.64,451.20,39.93,39.80,683.00,<0.169,<0.298
La139,453.67,445.93,37.14,37.15,24.70,<0.0140,<0.0245,<0.00,<0.00645,0.00074,<0.0162,0.0449,<0.0095,<0.0093,<0.00675,<0.0185,0.0037,451.91,457.66,38.15,37.80,24.70,<0.00,0.0033
Ce140,484.28,467.71,40.01,40.73,53.30,<0.0222,<0.0194,0.00216,0.00284,<0.0053,0.0097,0.0749,0.0228,<0.00737,<0.0107,<0.0179,0.0225,471.93,475.27,40.02,40.17,53.30,<0.0165,<0.0253
Gd157,513.26,496.17,42.03,43.04,6.71,<0.150,0.0077,0.0116,<0.0761,0.0136,0.104,<0.0557,0.0075,<0.0833,<0.0695,0.0149,<0.0488,483.98,492.34,41.01,41.48,6.71,<0.0734,0.0040
Yb172,540.03,527.49,46.11,45.07,3.39,0.0336,<0.068,0.052,0.0426,0.0365,0.0501,0.0332,0.0401,0.0239,0.0402,<0.076,<0.0456,542.05,554.21,46.19,46.40,3.39,0.0242,<0.107

GLITTER!: 1 sigma error.
Element,STD610-9,STD610-10,612-9,612-10,BCR-2G-4,SCO-1-4,SCO-2-4,10-1,10-2,10-3,10-4,10-5,10-6,10-7,10-8,10-9,10-10,STD610-11,STD610-12,612-11,612-12,BCR-2G-5,SCO-1-5,SCO-2-5
Li7,13.64,13.40,1.13,1.15,0.29,0.080,0.091,0.13,0.11,0.11,0.11,0.11,0.11,0.10,0.11,0.13,0.15,13.32,13.66,1.17,1.16,0.29,0.078,0.10
B11,4.73,4.44,0.56,0.54,0.20,0.17,0.16,0.47,0.38,0.34,0.34,0.27,0.25,0.22,0.21,0.27,0.20,3.21,3.13,0.45,0.42,0.19,0.18,0.17
Na23,3251.54,3096.58,3127.15,3126.77,732.84,1.28,3.21,1.58,1.71,1.68,1.54,1.74,1.77,1.71,1.79,1.50,1.73,3100.52,3176.82,3177.72,3136.95,732.41,1.26,3.21
Mg24,14.63,14.31,1.97,1.99,684.55,9967.79,9964.04,8033.77,8328.33,8080.83,7780.56,7996.34,8092.37,7699.21,7836.44,8071.36,7924.51,14.20,14.05,1.99,1.95,682.10,9846.54,9723.34
Mg25,14.39,14.29,2.03,1.95,667.26,10512.07,10368.53,8398.17,8526.07,8473.47,8167.55,8300.13,8272.63,8225.03,8278.51,8400.74,8438.64,14.19,14.26,2.04,1.96,666.11,10424.27,10199.33
Mg26,14.34,14.32,2.08,2.09,666.60,10372.37,10344.59,8346.26,8488.07,8429.52,8097.88,8331.36,8369.63,8069.70,8183.14,8296.85,8270.01,13.95,13.95,2.17,2.06,665.43,10317.51,10007.04
Al27,314.25,307.18,329.76,332.49,2367.47,2.05,3.97,3.78,3.76,3.55,3.72,3.50,3.35,3.48,3.65,4.05,3.58,315.09,313.84,335.80,332.32,2358.42,1.98,3.90
Si29,14159.12,13658.42,14196.96,14372.41,11142.70,6114.69,6114.56,5776.99,5798.54,5822.23,5775.38,5811.77,5822.19,5810.28,5823.69,5793.81,5788.74,13631.25,13522.05,14284.59,14092.27,11044.29,6114.78,6114.86
Si30,12575.00,12457.56,13128.11,13168.25,10337.85,6315.31,6273.28,5714.62,5751.84,5771.37,5698.11,5596.73,5642.02,5595.19,5662.42,6118.16,5754.15,12537.30,12398.72,13568.65,13291.38,10285.65,6458.48,6329.46
P31,42.47,39.93,5.22,5.51,136.94,1.72,1.95,5.81,7.13,6.91,6.88,6.50,6.42,7.18,8.05,5.51,5.94,39.14,38.92,5.33,5.18,131.84,1.76,2.32
Ca43,2614.18,2613.63,2711.02,2712.19,1624.09,28.42,28.11,50.30,42.76,44.78,50.07,42.83,44.02,41.78,43.26,61.62,49.95,2613.18,2613.89,2715.15,2710.93,1622.61,28.27,31.62
Ca44,2574.58,2560.14,2673.72,2693.70,1596.68,23.09,27.36,53.46,49.71,49.27,53.26,49.01,49.73,46.09,46.74,56.03,50.70,2615.85,2597.21,2693.42,2700.61,1595.34,24.47,28.25
