GLITTER! 4.5b1: Laser Ablation Analysis Results

G:\For edit 2017-05-04 EMP UPDATED windows reselected\run2.b
Created: Fri Sep 29 17:33:50 2017

All values are reported in ppm

GLITTER!: Trace Element Concentrations MDL filtered.
Element,STD610-13,STD610-14,612-13,612-14,BCR-2g-07,SCO-1-07,SCO-2-07,26-01,26-02,26-03,26-04,26-05,26-06,26-07,26-08,26-09,26-10,STD610-15,STD610-16,612-15,612-16,BCR-2g-08,SCO-1-08,SCO-2-08
Ni60,428.31,428.39,37.45,37.29,13.00,3318.72,3548.58,1601.99,1628.81,1253.54,1591.44,1619.99,1797.81,1827.46,1833.07,952.84,1151.09,468.34,474.72,39.10,39.32,13.00,3512.34,3721.66
Ni62,366.77,376.84,31.99,31.68,13.00,2789.09,2953.39,1325.15,1367.49,1010.30,1323.14,1309.89,1464.54,1446.00,1418.35,725.85,915.73,350.72,360.47,29.64,29.18,13.00,2570.53,2662.10
Cu63,487.17,487.27,42.19,41.22,21.00,1.014,5.15,3.50,3.69,2.750,3.80,3.80,3.35,3.50,3.57,2.625,2.89,488.57,492.72,40.02,40.44,21.00,1.003,5.09
Zn66,302.74,312.37,25.90,25.80,125.00,42.27,49.52,75.86,77.76,76.47,79.98,77.16,75.33,78.44,76.22,70.92,74.36,319.25,330.58,26.50,26.90,125.00,42.83,52.19
Zn67,254.97,258.93,22.76,21.18,125.00,33.57,38.80,60.92,60.58,59.09,63.11,60.99,58.64,62.12,61.39,55.10,57.64,269.43,280.15,23.13,22.95,125.00,34.24,41.29
Ga69,132.68,133.17,11.55,11.34,23.00,0.0156,0.0338,0.0386,0.0323,0.0367,0.0387,0.0375,0.0355,0.0405,0.0397,0.0275,0.0699,146.62,149.69,12.15,12.28,23.00,0.0148,0.0366
Sr88,522.89,530.12,81.51,81.69,342.00,0.0081,0.0069,0.0092,0.0073,0.0794,0.0340,0.0263,0.0128,0.0294,0.0106,0.0219,0.0210,545.85,551.43,83.64,84.18,342.00,<0.0076,0.0057
Y89,528.06,530.44,43.39,44.53,35.00,0.0447,0.0599,0.0336,0.0428,0.0648,0.0316,0.0392,0.0367,0.0361,0.0384,0.102,0.135,547.65,552.30,45.39,45.51,35.00,0.0484,0.0544
Zr90,485.60,484.20,40.85,41.96,184.00,0.076,0.144,0.0846,0.0812,0.1291,0.418,0.1191,0.0978,0.0757,0.102,4.17,0.411,493.45,491.33,42.60,43.53,184.00,0.069,0.090
Nb93,445.74,444.84,37.22,37.65,12.50,<0.0049,0.0047,0.0028,<0.0045,0.0056,0.0023,0.00428,0.0030,0.0060,0.00133,<0.0044,0.0098,466.08,467.00,38.62,38.76,12.50,<0.0033,0.0031
Ba135,456.45,464.07,41.00,40.39,683.00,<0.053,0.0177,<0.025,<0.038,<0.033,0.300,0.0186,0.905,<0.020,<0.0189,0.0081,<0.028,461.12,462.17,41.02,40.46,683.00,<0.084,<0.029
Ba137,451.15,456.91,39.55,39.21,683.00,<0.0301,<0.0249,<0.0119,0.0037,0.0313,<0.0212,<0.0144,<0.0121,0.0213,<0.0109,0.031,0.021,461.73,462.66,40.37,40.72,683.00,<0.042,<0.0237
La139,448.15,451.32,36.68,37.24,24.70,0.00043,<0.0048,<0.00227,<0.0034,0.0040,0.338,<0.0026,<0.00267,0.0053,0.483,<0.0051,0.0161,462.47,463.57,37.92,38.80,24.70,0.00212,<0.0037
Ce140,485.19,486.13,41.56,40.97,53.30,0.00203,<0.0057,0.0066,0.0749,0.1493,1.916,0.0236,<0.0025,0.0113,0.0544,0.1011,0.0152,492.30,492.15,40.68,41.14,53.30,<0.0041,<0.0028
Gd157,475.56,475.77,39.44,40.36,6.71,0.0064,0.0137,0.0123,0.0058,<0.0094,<0.0134,<0.0091,0.0087,0.0077,0.0039,0.0182,0.0096,485.45,486.05,39.98,41.08,6.71,<0.0193,<0.0187
Yb172,496.33,500.96,41.23,43.20,3.39,0.0252,0.0204,0.0076,0.0153,0.0111,<0.0101,0.0103,<0.0082,0.0119,0.0048,0.065,0.0437,494.74,498.68,41.47,42.53,3.39,0.0215,<0.0139

GLITTER!: Trace Element Concentrations, Not filtered for MDL.
Element,STD610-13,STD610-14,612-13,612-14,BCR-2g-07,SCO-1-07,SCO-2-07,26-01,26-02,26-03,26-04,26-05,26-06,26-07,26-08,26-09,26-10,STD610-15,STD610-16,612-15,612-16,BCR-2g-08,SCO-1-08,SCO-2-08
Li7,455.85,459.84,37.82,36.71,9.00,1.878,2.574,1.952,1.981,2.064,1.868,1.941,1.911,2.041,2.071,1.958,2.308,463.49,464.64,36.05,36.40,9.00,1.748,2.438
B11,52.27,52.88,10.37,10.60,6.00,7.34,7.02,5.48,6.25,5.57,5.89,5.20,5.75,5.15,4.72,6.67,5.23,69.39,72.49,11.39,11.44,6.00,6.61,6.26
Na23,95874.28,96924.80,99041.37,97074.11,23999.98,41.42,108.75,80.39,83.64,85.86,80.84,83.18,81.58,87.14,85.24,67.25,72.64,98523.67,99249.38,97701.83,98129.11,23999.99,41.31,107.09
Mg24,434.75,443.52,59.38,59.78,21500.00,337106.00,342593.94,306536.09,314264.28,314474.34,306360.16,311991.16,306284.44,312219.47,305266.94,295666.38,306765.03,455.39,459.07,60.89,61.28,21499.99,337772.97,338979.44
Mg25,427.18,438.64,56.91,57.56,21499.99,343879.38,344818.34,307268.22,314793.44,315879.56,314176.72,315891.66,317286.59,311221.34,314115.16,303354.59,304835.94,448.32,452.66,56.81,58.34,21499.99,348250.09,343225.16
Mg26,420.27,435.01,57.50,56.72,21500.00,336774.22,344057.91,305836.00,312133.88,317070.03,306111.25,308827.03,307731.53,311032.59,312503.59,299145.00,306081.50,447.43,450.98,58.28,60.16,21499.99,341473.94,341255.66
Al27,9139.06,9135.18,9523.82,9600.56,70900.00,66.76,128.23,55.57,59.91,60.48,66.24,63.05,69.80,62.47,57.71,61.35,53.65,9227.20,9346.04,9731.15,9783.55,70899.97,67.32,129.42
Si29,303600.84,303790.72,317114.44,311391.81,254299.94,193286.17,193286.17,187770.38,188565.05,188331.33,189312.95,187256.20,188705.27,187770.38,187723.66,186975.75,187209.47,313847.13,311587.75,318562.69,319032.50,254299.88,193286.17,193286.17
Si30,293071.59,296049.91,308122.59,308248.88,254299.86,197340.20,201373.73,181271.97,192760.39,189096.91,187815.39,185473.11,188168.00,183672.64,186197.11,187152.27,182477.08,306210.56,308610.13,313235.16,315000.66,254299.89,198401.56,196618.88
P31,413.82,417.10,54.70,55.48,1600.00,20.80,33.92,42.90,67.72,59.49,47.91,66.62,54.63,72.18,74.80,62.13,81.28,421.39,429.36,52.68,53.23,1600.00,19.51,30.81
Ca43,81905.45,81905.45,84692.06,84692.06,50499.98,347.87,512.70,1098.84,1244.19,1785.70,1159.98,1139.57,1121.83,1029.46,1001.84,2107.49,1724.74,81905.45,81905.45,84692.06,84692.06,50499.98,376.25,559.66
Ca44,82508.41,83697.43,86015.16,86339.84,50499.98,798.41,942.11,1506.50,1667.45,2186.47,1597.64,1543.95,1535.14,1486.38,1412.49,2587.67,2171.82,83846.90,84541.53,86548.92,87705.86,50499.98,777.67,900.36
Sc45,369.88,369.92,40.56,40.80,33.00,8.86,7.84,7.33,7.60,8.38,7.60,7.44,7.52,7.23,7.05,9.67,9.32,402.41,404.20,40.55,41.27,33.00,7.60,6.34
Ti47,453.55,459.90,45.95,46.51,14099.99,8.95,40.22,123.58,125.33,144.06,143.96,136.08,128.83,119.08,105.73,165.69,149.84,472.64,469.56,45.37,46.30,14099.99,8.77,40.73
Ti49,447.79,456.95,41.03,40.64,14099.99,6.84,38.49,120.95,121.83,143.46,137.57,135.03,124.02,113.71,104.72,161.78,147.48,465.10,464.13,42.39,41.79,14100.00,6.56,37.71
V51,440.45,437.05,38.07,37.14,425.00,3.33,6.46,2.771,2.837,1.803,3.054,2.942,2.936,2.879,2.714,1.540,1.984,449.59,457.31,37.04,37.57,425.00,3.16,6.21
Cr53,421.87,428.87,38.99,37.25,17.00,161.46,311.96,154.06,152.26,137.35,147.09,156.41,187.62,188.16,181.58,120.56,194.62,476.18,479.81,39.75,40.26,17.00,169.91,323.15
Mn55,423.43,428.57,37.05,37.20,1550.00,1175.31,1043.33,2057.97,2066.99,2372.99,2083.37,2108.12,1986.66,2054.54,2043.70,2103.11,2285.68,443.46,446.07,37.32,38.26,1550.00,1190.17,1046.41
Co59,386.20,392.23,33.46,33.50,38.00,156.56,163.86,180.70,186.84,176.22,191.80,190.12,182.83,183.57,188.62,171.07,174.22,406.36,413.50,33.42,33.86,38.00,156.64,163.37
Ni60,428.31,428.39,37.45,37.29,13.00,3318.72,3548.58,1601.99,1628.81,1253.54,1591.44,1619.99,1797.81,1827.46,1833.07,952.84,1151.09,468.34,474.72,39.10,39.32,13.00,3512.34,3721.66
Ni62,366.77,376.84,31.99,31.68,13.00,2789.09,2953.39,1325.15,1367.49,1010.30,1323.14,1309.89,1464.54,1446.00,1418.35,725.85,915.73,350.72,360.47,29.64,29.18,13.00,2570.53,2662.10
Cu63,487.17,487.27,42.19,41.22,21.00,1.014,5.15,3.50,3.69,2.750,3.80,3.80,3.35,3.50,3.57,2.625,2.89,488.57,492.72,40.02,40.44,21.00,1.003,5.09
Zn66,302.74,312.37,25.90,25.80,125.00,42.27,49.52,75.86,77.76,76.47,79.98,77.16,75.33,78.44,76.22,70.92,74.36,319.25,330.58,26.50,26.90,125.00,42.83,52.19
Zn67,254.97,258.93,22.76,21.18,125.00,33.57,38.80,60.92,60.58,59.09,63.11,60.99,58.64,62.12,61.39,55.10,57.64,269.43,280.15,23.13,22.95,125.00,34.24,41.29
Ga69,132.68,133.17,11.55,11.34,23.00,0.0156,0.0338,0.0386,0.0323,0.0367,0.0387,0.0375,0.0355,0.0405,0.0397,0.0275,0.0699,146.62,149.69,12.15,12.28,23.00,0.0148,0.0366
Sr88,522.89,530.12,81.51,81.69,342.00,0.0081,0.0069,0.0092,0.0073,0.0794,0.0340,0.0263,0.0128,0.0294,0.0106,0.0219,0.0210,545.85,551.43,83.64,84.18,342.00,-0.0026,0.0057
Y89,528.06,530.44,43.39,44.53,35.00,0.0447,0.0599,0.0336,0.0428,0.0648,0.0316,0.0392,0.0367,0.0361,0.0384,0.102,0.135,547.65,552.30,45.39,45.51,35.00,0.0484,0.0544
Zr90,485.60,484.20,40.85,41.96,184.00,0.076,0.144,0.0846,0.0812,0.1291,0.418,0.1191,0.0978,0.0757,0.102,4.17,0.411,493.45,491.33,42.60,43.53,184.00,0.069,0.090
Nb93,445.74,444.84,37.22,37.65,12.50,0.0011,0.0047,0.0028,0.0036,0.0056,0.0023,0.00428,0.0030,0.0060,0.00133,0.0027,0.0098,466.08,467.00,38.62,38.76,12.50,-0.0007,0.0031
Ba135,456.45,464.07,41.00,40.39,683.00,-0.023,0.0177,0.005,-0.007,0.029,0.300,0.0186,0.905,0.019,0.0046,0.0081,-0.001,461.12,462.17,41.02,40.46,683.00,-0.033,-0.004
Ba137,451.15,456.91,39.55,39.21,683.00,-0.0103,-0.0108,0.0028,0.0037,0.0313,0.0079,0.0030,0.0019,0.0213,0.0002,0.031,0.021,461.73,462.66,40.37,40.72,683.00,-0.014,0.0009
La139,448.15,451.32,36.68,37.24,24.70,0.00043,-0.0017,0.00023,0.0020,0.0040,0.338,0.0015,-0.00087,0.0053,0.483,-0.0013,0.0161,462.47,463.57,37.92,38.80,24.70,0.00212,0.0010
Ce140,485.19,486.13,41.56,40.97,53.30,0.00203,-0.0037,0.0066,0.0749,0.1493,1.916,0.0236,0.0022,0.0113,0.0544,0.1011,0.0152,492.30,492.15,40.68,41.14,53.30,-0.0015,0.0011
Gd157,475.56,475.77,39.44,40.36,6.71,0.0064,0.0137,0.0123,0.0058,0.0053,0.0016,0.0074,0.0087,0.0077,0.0039,0.0182,0.0096,485.45,486.05,39.98,41.08,6.71,0.0027,-0.0037
Yb172,496.33,500.96,41.23,43.20,3.39,0.0252,0.0204,0.0076,0.0153,0.0111,0.0093,0.0103,0.0053,0.0119,0.0048,0.065,0.0437,494.74,498.68,41.47,42.53,3.39,0.0215,0.0127

GLITTER!: Trace Element Concentrations LOQ filtered.
Element,STD610-13,STD610-14,612-13,612-14,BCR-2g-07,SCO-1-07,SCO-2-07,26-01,26-02,26-03,26-04,26-05,26-06,26-07,26-08,26-09,26-10,STD610-15,STD610-16,612-15,612-16,BCR-2g-08,SCO-1-08,SCO-2-08
Li7,455.85,459.84,37.82,36.71,9.00,1.878,2.574,1.952,1.981,2.064,1.868,1.941,1.911,2.041,2.071,1.958,2.308,463.49,464.64,36.05,36.40,9.00,1.748,2.438
B11,52.27,52.88,10.37,10.60,6.00,7.34,7.02,5.48,6.25,5.57,5.89,5.20,5.75,5.15,4.72,6.67,5.23,69.39,72.49,11.39,11.44,6.00,6.61,6.26
Na23,95874.28,96924.80,99041.37,97074.11,23999.98,41.42,108.75,80.39,83.64,85.86,80.84,83.18,81.58,87.14,85.24,67.25,72.64,98523.67,99249.38,97701.83,98129.11,23999.99,41.31,107.09
Mg24,434.75,443.52,59.38,59.78,21500.00,337106.00,342593.94,306536.09,314264.28,314474.34,306360.16,311991.16,306284.44,312219.47,305266.94,295666.38,306765.03,455.39,459.07,60.89,61.28,21499.99,337772.97,338979.44
Mg25,427.18,438.64,56.91,57.56,21499.99,343879.38,344818.34,307268.22,314793.44,315879.56,314176.72,315891.66,317286.59,311221.34,314115.16,303354.59,304835.94,448.32,452.66,56.81,58.34,21499.99,348250.09,343225.16
Mg26,420.27,435.01,57.50,56.72,21500.00,336774.22,344057.91,305836.00,312133.88,317070.03,306111.25,308827.03,307731.53,311032.59,312503.59,299145.00,306081.50,447.43,450.98,58.28,60.16,21499.99,341473.94,341255.66
Al27,9139.06,9135.18,9523.82,9600.56,70900.00,66.76,128.23,55.57,59.91,60.48,66.24,63.05,69.80,62.47,57.71,61.35,53.65,9227.20,9346.04,9731.15,9783.55,70899.97,67.32,129.42
Si29,303600.84,303790.72,317114.44,311391.81,254299.94,193286.17,193286.17,187770.38,188565.05,188331.33,189312.95,187256.20,188705.27,187770.38,187723.66,186975.75,187209.47,313847.13,311587.75,318562.69,319032.50,254299.88,193286.17,193286.17
Si30,293071.59,296049.91,308122.59,308248.88,254299.86,197340.20,201373.73,181271.97,192760.39,189096.91,187815.39,185473.11,188168.00,183672.64,186197.11,187152.27,182477.08,306210.56,308610.13,313235.16,315000.66,254299.89,198401.56,196618.88
P31,413.82,417.10,54.70,55.48,1600.00,20.80,33.92,42.90,67.72,59.49,47.91,66.62,54.63,72.18,74.80,62.13,81.28,421.39,429.36,52.68,53.23,1600.00,19.51,30.81
Ca43,81905.45,81905.45,84692.06,84692.06,50499.98,347.87,512.70,1098.84,1244.19,1785.70,1159.98,1139.57,1121.83,1029.46,1001.84,2107.49,1724.74,81905.45,81905.45,84692.06,84692.06,50499.98,376.25,559.66
Ca44,82508.41,83697.43,86015.16,86339.84,50499.98,798.41,942.11,1506.50,1667.45,2186.47,1597.64,1543.95,1535.14,1486.38,1412.49,2587.67,2171.82,83846.90,84541.53,86548.92,87705.86,50499.98,777.67,900.36
