GLITTER! 4.5b1: Laser Ablation Analysis Results

G:\For edit 2017-05-04 EMP UPDATED windows reselected\run1.b
Created: Fri Sep 29 17:31:12 2017

All values are reported in ppm

GLITTER!: Trace Element Concentrations MDL filtered.
Element,STD610-11,STD610-12,612-11,612-12,BCR-2g-06,SCO-1-06,SCO-2-06,32-01,32-02,32-03,32-04,32-05,32-06,32-07,32-08,32-09,32-10,STD610-13,STD610-14,612-13,612-14,BCR-2g-07,SCO-1-07,SCO-2-07
Element,STD610-11,STD610-12,612-11,612-12,BCR-2g-06,SCO-1-06,SCO-2-06,32-01,32-02,32-03,32-04,32-05,32-06,32-07,32-08,32-09,32-10,STD610-13,STD610-14,612-13,612-14,BCR-2g-07,SCO-1-07,SCO-2-07
Li7,415.26,421.56,35.08,36.15,9.00,1.765,2.501,2.503,2.676,2.647,2.458,2.226,2.352,2.213,2.359,2.732,2.546,459.98,462.92,37.87,36.78,9.00,1.881,2.592
B11,29.83,30.05,11.94,11.68,6.00,11.37,10.25,4.95,4.92,4.82,4.73,4.73,4.77,4.78,4.80,4.77,4.89,43.24,45.67,9.37,10.09,6.00,7.82,8.00
Na23,92537.15,94524.87,94971.07,97333.51,23999.99,43.34,111.05,251.96,236.12,229.17,211.29,211.00,210.79,131.88,132.23,281.94,291.45,97524.30,98173.09,99972.24,97775.91,23999.99,41.43,108.94
Mg24,451.23,461.33,60.12,59.93,21499.99,342237.34,341226.91,324617.84,327672.31,323788.38,333497.03,332556.84,327680.00,338658.72,329334.84,324004.94,329547.69,438.47,446.47,59.57,60.03,21499.99,337305.06,343020.06
Mg25,435.20,439.40,56.40,57.09,21499.99,339818.44,332857.81,320381.22,320727.66,323149.00,326566.84,329737.72,323547.94,333422.88,334829.53,325727.25,326378.13,428.20,439.94,56.95,57.46,21499.99,343588.03,345302.69
Mg26,435.70,441.07,56.81,56.88,21499.99,335747.72,331897.31,314346.59,319813.69,317805.53,325576.63,329287.00,322528.25,330128.94,332666.31,319033.66,326360.56,421.93,437.12,57.69,56.89,21499.99,336901.19,345765.84
Al27,9112.62,9221.90,9682.55,9651.22,70899.95,67.67,126.49,113.81,115.03,116.20,109.55,123.69,140.17,111.94,102.80,132.08,126.01,9171.86,9193.52,9547.15,9647.37,70899.96,66.92,128.42
Si29,289176.84,293844.56,303219.81,306989.94,254299.81,193286.16,193286.14,190621.77,189406.41,190575.00,190201.05,192585.00,190341.28,191322.91,190855.48,191322.91,191790.34,306445.06,306938.06,319109.41,312145.91,254299.83,193286.14,193286.14
Si30,307680.28,316957.72,318095.75,320612.47,254299.89,217735.23,203555.59,205316.48,209541.92,206410.02,205143.86,206362.89,200092.77,201230.23,201703.41,194716.61,196739.52,306112.41,306179.28,315372.34,312054.81,254299.92,195680.20,198336.92
P31,395.68,401.78,58.05,59.06,1600.00,31.11,38.45,63.13,63.64,64.08,36.64,49.10,80.58,97.67,74.92,64.63,64.16,417.20,420.62,55.33,55.52,1600.00,20.77,33.76
Ca43,81905.47,81905.47,84692.09,84692.09,50500.00,358.24,496.80,563.34,438.57,440.40,382.62,385.82,411.08,899.09,816.68,434.64,414.22,81905.45,81905.45,84692.06,84692.06,50499.98,347.96,518.34
Ca44,80222.97,82458.91,85513.84,84669.62,50499.98,1037.71,1150.11,1007.43,913.31,878.35,840.14,844.50,856.66,1320.68,1285.75,860.95,865.43,82405.27,83689.43,85990.24,86223.28,50499.98,800.23,944.09
Sc45,217.52,223.20,41.20,40.45,33.00,15.30,14.01,5.77,5.77,5.83,5.73,5.92,6.06,6.46,6.47,6.36,6.55,322.85,334.83,37.84,39.47,33.00,9.23,8.52
Ti47,478.66,477.06,64.76,63.46,14100.00,19.77,47.99,161.42,119.64,117.86,109.17,132.04,205.77,212.24,192.57,129.99,124.23,457.13,464.38,46.05,47.18,14100.00,9.31,41.06
Ti49,444.75,453.12,43.74,42.15,14100.00,6.98,39.19,157.94,116.14,112.21,106.26,126.42,202.19,208.32,187.55,124.23,121.32,451.82,461.08,40.80,40.81,14099.99,6.88,37.95
V51,416.44,430.57,35.72,36.36,425.00,3.25,6.42,6.33,7.63,7.47,8.86,10.13,11.44,2.410,2.678,9.02,8.92,444.43,440.11,38.29,37.21,425.00,3.33,6.50
Cr53,422.87,427.82,36.68,38.30,17.00,160.40,308.66,564.85,634.04,623.11,566.25,582.74,411.10,821.46,622.00,535.40,552.93,429.62,435.81,39.53,37.65,17.00,162.47,314.88
Mn55,420.03,421.97,36.06,36.66,1550.00,1183.34,1022.35,1071.54,1119.92,1182.39,1145.09,1167.56,1194.12,1223.31,1259.42,1157.52,1167.94,420.70,427.49,36.99,37.22,1550.00,1177.59,1053.53
Co59,374.60,388.17,32.09,32.85,38.00,156.32,161.66,164.99,171.14,172.15,159.06,164.91,166.65,167.81,173.02,175.11,179.64,383.53,391.52,33.40,33.58,38.00,157.84,166.53
Ni60,429.89,444.98,37.37,37.45,13.00,3486.77,3602.47,3635.08,3549.03,3595.23,3370.21,3500.42,3690.02,3670.03,3788.49,3617.96,3701.53,432.85,432.11,37.68,37.49,13.00,3327.90,3578.02
Ni62,278.44,291.28,23.96,26.22,13.00,2383.47,2473.44,2513.81,2488.78,2477.16,2419.22,2522.23,2755.42,2816.35,2876.15,2840.12,2869.31,339.81,356.14,30.90,31.24,13.00,2881.72,3137.91
Cu63,407.66,421.11,35.50,37.09,21.00,0.988,4.78,5.82,7.62,8.16,8.91,9.39,12.65,3.88,4.56,9.91,8.21,466.72,471.83,41.39,40.97,21.00,1.026,5.34
Zn66,303.63,311.67,25.45,25.79,125.00,44.06,50.98,82.01,77.47,73.68,66.51,61.96,65.45,70.28,74.76,78.05,79.30,308.73,316.63,26.12,25.88,125.00,42.20,49.42
Zn67,241.72,249.07,20.43,21.03,125.00,33.06,39.35,59.69,57.08,55.30,49.63,47.31,49.38,52.14,56.57,59.77,61.44,257.71,261.00,22.88,21.25,125.00,33.72,38.96
