GLITTER! 4.5b1: Laser Ablation Analysis Results

G:\LA data with updated GEOREM standards 29.09.17\For edit 2017-05-04 EMP UPDATED windows reselected BCR-2G standard\run4.b
Created: Thu Oct 05 15:51:01 2017

All values are reported in ppm

GLITTER!: Trace Element Concentrations MDL filtered.
Element,STD610-17,STD610-18,612-17,612-18,BCR-2g-09,SCO-1-09,SCO-2-09,4-01,4-02,4-03,4-04,4-05,4-06,4-07,4-08,4-09,4-10,STD610-19,STD610-20,612-19,612-20,BCR-2g-10,SCO-1-10,SCO-2-10,BCR-2g-10a
Sr88,532.18,536.38,81.30,82.00,342.00,<0.0044,0.0069,0.0141,0.0340,0.0328,0.0174,0.0220,0.0213,0.1538,0.0329,<0.0263,0.0162,541.55,537.61,82.04,80.42,278.35,<0.0056,0.0033,342.00
Y89,530.17,525.88,43.52,43.38,35.00,0.0428,0.0618,0.0553,0.0474,0.0533,0.0555,0.0530,0.0534,0.0588,0.0612,0.0465,0.0550,533.86,515.31,43.70,42.30,13.67,0.0404,0.0714,35.00
Zr90,499.45,493.12,42.99,42.33,184.00,0.114,0.0367,0.0673,0.564,0.488,0.0799,0.698,0.0710,0.1138,5.00,<0.145,0.0508,496.86,478.58,42.21,41.17,272.40,0.099,0.0520,184.00
Nb93,470.97,475.17,39.25,39.68,12.50,<0.0049,0.0041,<0.00194,0.0033,0.0033,0.00225,0.00186,0.00245,0.0128,<0.00163,<0.0115,0.00158,464.05,455.36,37.91,37.97,8.06,<0.0061,0.0036,12.50
Ba135,461.77,466.88,41.03,40.24,683.00,<0.072,<0.030,0.0093,0.0260,0.412,<0.0202,0.094,0.0067,0.260,0.076,<0.141,<0.0241,467.01,457.89,40.17,39.98,443.39,<0.045,0.0139,683.00
Ba137,463.78,468.91,41.18,40.61,683.00,0.0205,<0.0246,0.0192,0.0124,0.246,0.0082,0.0302,0.0156,0.248,0.084,<0.119,<0.0114,466.20,462.48,41.31,40.93,348.13,0.0085,<0.025,683.00
La139,459.73,459.79,37.66,37.61,24.70,<0.0032,<0.0037,0.0138,0.820,2.739,0.0130,0.239,0.0871,0.483,2.997,<0.23,0.0242,456.73,447.33,37.38,36.60,33.97,<0.0040,<0.0037,24.70
Ce140,486.31,492.44,40.76,41.85,53.30,<0.00244,<0.0035,0.1591,0.481,151.47,0.0537,0.350,1.443,2.609,0.961,<0.68,2.343,494.28,489.23,41.10,41.69,51.40,0.00167,<0.00207,53.30
Gd157,480.84,483.90,40.51,40.39,6.71,<0.0229,<0.0234,<0.0129,<0.0070,0.0624,<0.0065,0.0196,0.0609,0.0089,0.0159,<0.064,0.0752,491.43,478.34,41.09,40.16,12.13,<0.0207,<0.0138,6.71
Yb172,498.80,502.22,42.86,42.64,3.39,0.0210,0.0131,0.0099,<0.0086,0.0118,0.0126,0.0146,<0.0058,0.0144,0.0123,0.0178,0.0163,507.35,494.93,42.27,41.41,-1.20,0.0287,0.0248,3.39

GLITTER!: Trace Element Concentrations, Not filtered for MDL.
Element,STD610-17,STD610-18,612-17,612-18,BCR-2g-09,SCO-1-09,SCO-2-09,4-01,4-02,4-03,4-04,4-05,4-06,4-07,4-08,4-09,4-10,STD610-19,STD610-20,612-19,612-20,BCR-2g-10,SCO-1-10,SCO-2-10,BCR-2g-10a
Li7,460.67,473.21,36.56,38.25,9.00,1.815,2.573,1.662,1.955,1.800,1.580,1.753,1.767,1.786,2.022,1.618,1.642,472.78,485.04,36.91,38.76,75.10,1.718,2.435,9.00
B11,91.89,94.20,13.13,13.23,6.00,5.99,5.61,4.84,4.72,4.47,4.43,4.31,4.21,4.26,4.20,3.87,4.02,103.40,105.96,13.90,14.05,1215.01,5.12,4.86,6.00
Na23,103669.66,105992.59,102153.68,104851.92,23999.99,42.22,111.60,108.21,112.96,116.13,125.02,109.95,111.19,113.56,116.62,81.00,105.51,105385.87,106741.46,103466.38,107696.66,81463.57,42.73,111.72,23999.99
Mg24,442.82,459.10,60.99,60.48,21499.99,332841.84,331068.25,324318.88,329209.19,321608.81,323229.66,321000.34,320354.34,324131.84,320923.38,317787.63,323446.97,443.97,454.35,60.06,61.69,9231.19,329685.00,330934.66,21500.00
Mg25,432.39,451.75,56.29,57.21,21499.99,338285.00,333708.59,319676.41,330565.78,325123.56,327256.16,318791.66,320418.84,320420.38,317676.50,314984.06,323102.31,431.93,444.67,57.92,58.44,5521.51,328624.31,324111.41,21499.99
Mg26,432.22,443.59,56.44,58.51,21499.99,335361.41,331122.28,323198.41,329245.53,324476.72,328346.66,316927.13,320139.38,318410.28,320906.13,312539.44,319221.28,438.24,443.88,57.99,58.87,3080.24,332537.13,329857.19,21499.99
Al27,9058.65,9086.10,9538.88,9518.39,70899.96,67.47,124.60,175.75,138.71,141.40,155.13,160.17,145.02,141.90,137.04,49.41,180.73,9348.60,9139.65,9769.22,9565.52,27294.41,65.05,120.71,70899.97
Si29,312303.59,316419.59,317186.09,321077.84,254299.80,193286.13,193286.13,190761.95,196932.16,190761.95,190434.77,190201.03,190247.78,188424.77,188845.45,189172.67,190481.50,322694.75,324347.69,325654.00,334487.38,10348.87,193286.16,193286.16,254299.91
Si30,299054.66,306785.13,308775.00,314405.28,254299.94,194326.36,195702.36,179205.67,190997.88,187584.39,184965.50,185494.03,187741.64,188888.91,186457.47,183772.53,190316.22,316667.22,316661.69,323233.72,331893.91,<-1.00,199825.14,201854.36,254299.91
P31,424.43,432.40,51.92,54.95,1600.00,17.03,29.68,63.19,72.85,93.08,38.81,86.68,67.85,64.03,94.37,68.16,71.37,447.94,438.51,52.22,55.85,<-1.00,16.38,27.90,1600.00
Ca43,81905.41,81905.41,84692.03,84692.03,50499.96,372.00,537.89,1691.51,1817.65,1808.70,1425.88,1741.68,1686.96,1820.45,1513.31,1713.35,1659.50,81905.42,81905.41,84692.04,84692.04,50499.97,368.87,471.27,50499.97
Ca44,83064.38,83622.89,86821.94,86639.81,50499.98,733.20,857.85,2021.69,2189.76,2184.21,1806.95,2074.92,2047.11,2155.43,1856.34,2092.76,2006.80,83695.47,81752.61,86241.66,85640.46,28674.72,688.86,823.95,50499.99
Sc45,414.62,417.17,40.50,40.79,33.00,6.74,5.62,6.77,6.88,6.70,6.03,6.72,6.58,6.68,6.45,6.49,6.61,419.94,406.53,40.09,39.17,<-1.00,6.03,5.00,33.00
Ti47,460.65,463.19,42.72,42.91,14100.00,7.79,37.25,78.87,67.60,65.15,57.13,71.14,63.63,71.22,61.74,61.09,78.32,464.30,452.95,43.54,43.88,4276.02,7.65,35.60,14099.99
Ti49,458.65,468.93,42.97,40.09,14099.99,6.81,37.70,78.43,66.10,62.96,56.73,69.77,63.14,70.06,60.41,58.25,77.67,467.95,456.92,40.85,41.35,5130.86,5.30,34.73,14099.99
V51,451.57,463.13,37.16,38.61,425.00,3.21,6.37,5.85,5.47,5.35,4.30,5.75,5.43,5.45,5.12,5.04,6.22,462.64,470.34,37.81,39.54,159.62,3.24,6.07,425.00
Cr53,477.70,486.17,40.79,42.10,17.00,164.26,322.46,706.61,626.06,682.95,746.88,660.53,647.92,563.45,578.03,517.92,702.92,484.45,490.34,41.17,42.35,<-1.00,165.01,314.09,17.00
Mn55,435.31,443.91,36.71,37.90,1550.00,1154.48,1024.52,1607.70,1739.45,1660.45,1490.25,1649.36,1683.85,1666.47,1696.35,1734.76,1652.71,449.05,448.21,37.62,38.44,1088.34,1159.00,1022.17,1550.00
Co59,402.73,414.02,33.56,34.71,38.00,155.30,162.58,176.34,182.26,180.24,167.56,179.12,179.81,179.68,174.24,177.84,177.84,415.99,423.60,34.96,35.49,201.02,154.53,162.79,38.00
Ni60,460.99,481.09,38.35,40.01,13.00,3439.09,3620.51,2108.19,1934.12,2081.68,2908.11,2079.99,2077.33,1793.52,2529.51,1598.57,2194.09,496.44,502.31,41.25,43.32,135.72,3559.77,3784.51,13.00
Ni62,329.78,336.01,26.11,28.69,13.00,2455.58,2557.93,1518.01,1368.04,1459.45,2113.51,1509.59,1475.53,1275.06,1790.82,1114.88,1576.86,349.52,357.42,28.71,30.22,51.22,2567.23,2723.81,13.00
Cu63,197.79,211.08,17.20,18.53,21.00,0.479,2.348,2.457,1.798,2.968,2.871,2.269,2.222,2.980,1.752,0.829,3.63,356.19,378.17,32.45,35.80,2745.64,0.915,5.04,21.00
Zn66,265.43,274.14,22.05,22.61,125.00,36.20,44.00,44.99,50.48,48.95,47.07,49.06,51.04,50.82,57.89,47.68,51.42,322.31,331.45,27.05,28.42,5726.53,43.04,52.64,125.00
Zn67,233.28,240.12,20.15,20.90,125.00,30.29,36.17,37.41,41.72,40.10,38.09,39.56,41.29,41.22,47.39,38.19,42.61,279.67,286.13,23.78,23.18,4227.91,35.32,42.39,125.00
Ga69,149.33,154.60,12.32,12.86,23.00,0.0103,0.0344,0.0579,0.0500,0.0527,0.0549,0.0592,0.0472,0.0573,0.0569,0.0260,0.0694,158.43,158.85,12.91,13.49,10.79,0.0146,0.0290,23.00
Sr88,532.18,536.38,81.30,82.00,342.00,0.0003,0.0069,0.0141,0.0340,0.0328,0.0174,0.0220,0.0213,0.1538,0.0329,-0.0895,0.0162,541.55,537.61,82.04,80.42,278.35,0.0001,0.0033,342.00
Y89,530.17,525.88,43.52,43.38,35.00,0.0428,0.0618,0.0553,0.0474,0.0533,0.0555,0.0530,0.0534,0.0588,0.0612,0.0465,0.0550,533.86,515.31,43.70,42.30,13.67,0.0404,0.0714,35.00
Zr90,499.45,493.12,42.99,42.33,184.00,0.114,0.0367,0.0673,0.564,0.488,0.0799,0.698,0.0710,0.1138,5.00,<-1.000,0.0508,496.86,478.58,42.21,41.17,272.40,0.099,0.0520,184.00
Nb93,470.97,475.17,39.25,39.68,12.50,0.0010,0.0041,0.00190,0.0033,0.0033,0.00225,0.00186,0.00245,0.0128,0.00136,-0.0324,0.00158,464.05,455.36,37.91,37.97,8.06,0.0009,0.0036,12.50
Ba135,461.77,466.88,41.03,40.24,683.00,-0.009,0.010,0.0093,0.0260,0.412,-0.0088,0.094,0.0067,0.260,0.076,-0.378,-0.0017,467.01,457.89,40.17,39.98,443.39,-0.004,0.0139,683.00
