GLITTER! 4.5b1: Laser Ablation Analysis Results

G:\2017-05-05 EMP UPDATED windoes reselected - Do not edit pre 29.09.17 612 standard\Run 3.b
Created: Fri Sep 29 18:41:13 2017

All values are reported in ppm

GLITTER!: Trace Element Concentrations MDL filtered.
Element,STD610-5,STD610-6,612-5,612-6,BCR-2G-2,SCO-1-2,SCO-2-2,15-01,15-02,15-03,15-04,15-05,15-06,15-07,15-08,15-09,15-10,STD610-7,STD610-8,612-7,612-8,BCR-2G-3,SCO-1-3,SCO-2-3
B11,254.46,254.60,34.86,33.71,13.28,12.77,12.74,9.96,9.88,9.01,8.62,8.54,9.70,8.47,8.41,8.24,8.66,267.23,264.09,34.59,34.05,13.18,11.72,11.26
Na23,101859.93,101183.55,101945.95,101256.38,24006.93,39.15,99.73,60.84,61.44,66.54,48.97,74.50,52.33,56.86,56.39,61.48,65.13,103143.27,103037.01,102374.37,100951.17,24565.01,38.35,98.04
Mg24,475.83,479.88,70.66,65.41,22970.74,347192.66,344251.16,226003.14,229836.50,228461.00,237969.61,234787.63,231037.47,229002.95,230404.70,233264.08,245276.55,495.35,502.53,68.21,67.94,24829.70,361419.56,358039.63
Mg25,470.59,481.11,72.23,63.81,22744.19,358749.34,359721.34,232109.33,238268.34,237701.95,252669.28,246726.13,242202.80,241207.13,245015.66,241597.30,254588.86,513.92,523.35,70.36,66.07,25245.44,383587.22,379489.34
Mg26,475.64,476.95,69.67,66.21,23011.34,357752.16,357307.44,234223.75,233880.73,234922.03,250005.00,245054.25,239057.00,238082.34,243244.38,239707.06,251596.95,507.98,514.79,68.84,67.31,24847.94,373058.13,372104.84
Al27,10057.85,10017.88,10841.34,10642.48,75854.28,70.38,138.27,119.60,121.08,133.24,128.16,169.60,125.30,139.26,112.86,124.61,127.96,9952.69,10066.61,10752.79,10740.22,79753.92,71.81,137.13
Si29,327637.31,323385.72,340087.81,333933.31,264524.06,193286.19,193286.20,179076.03,177206.28,178094.42,180291.38,178842.30,179543.48,178047.66,177626.95,178935.80,186975.75,325191.34,329004.63,336573.13,337672.31,274190.06,193286.17,193286.17
Si30,312248.69,314685.41,339001.84,334968.84,261221.59,201375.36,198316.23,166138.95,171988.06,172527.80,176172.19,170950.88,176717.28,170187.64,171959.19,173523.31,180849.92,319001.41,314930.59,337454.19,336755.72,272558.31,199829.09,199254.86
P31,404.67,386.27,46.55,46.76,1351.71,16.27,27.90,172.94,171.57,198.32,44.93,37.54,102.65,117.05,73.65,133.00,148.77,395.81,376.09,45.14,48.05,1340.62,15.73,23.07
Ca43,81905.45,81905.45,85049.41,85049.41,51029.65,269.62,422.86,1787.87,1819.79,1758.54,1561.16,1570.16,1815.55,1545.41,1639.18,1759.30,1737.74,81905.45,81905.45,85049.42,85049.42,51029.66,313.76,509.83
Ca44,80971.49,81282.96,85253.37,84822.05,50109.34,697.90,803.29,2052.09,2087.71,2021.04,1846.47,1838.67,2092.16,1835.53,1881.64,1996.98,2107.51,80744.97,81153.25,85238.65,84879.43,50796.78,671.91,795.50
Sc45,419.51,420.20,40.08,39.72,31.23,5.28,4.33,7.16,7.21,7.07,6.69,6.54,7.29,6.96,6.53,6.83,7.23,413.68,415.57,39.69,40.12,31.57,5.12,4.12
Ti47,464.58,465.00,44.03,44.01,14311.72,5.70,40.20,198.71,197.33,247.13,106.46,133.98,165.44,163.09,149.56,211.11,213.02,467.47,470.35,43.38,44.61,14742.69,7.40,36.63
Ti49,520.88,515.94,45.64,42.32,15721.14,6.47,42.27,217.01,214.94,268.44,114.64,142.48,175.83,174.34,156.39,227.25,227.93,495.76,497.82,44.35,43.75,15715.41,5.68,38.35
V51,471.59,458.04,39.20,38.38,438.95,3.27,6.13,17.98,17.68,20.71,17.21,15.72,17.04,16.93,15.43,17.49,18.61,469.56,469.52,38.94,38.69,457.94,3.12,6.07
Cr53,442.98,431.37,35.99,36.88,15.58,145.71,276.93,19.40,20.54,22.71,49.59,56.07,19.72,26.48,21.48,17.78,17.59,434.87,427.06,35.97,36.81,15.03,139.49,267.93
Mn55,451.66,445.28,38.83,38.56,1552.79,1098.61,960.73,3852.79,3851.50,3833.72,3603.30,3641.34,3795.20,3788.18,3854.82,3938.63,4220.06,455.21,448.51,38.74,38.67,1615.35,1097.14,954.68
Co59,427.61,423.75,35.57,35.43,38.41,151.42,154.55,219.04,218.59,227.64,214.18,216.78,214.77,222.19,230.83,225.88,240.45,422.67,419.77,35.44,35.56,40.15,147.57,152.14
Ni60,455.30,447.84,39.65,37.93,12.08,3088.59,3215.38,315.07,327.12,333.34,430.09,465.23,331.85,330.05,346.60,338.15,354.02,483.08,474.26,38.93,38.73,13.38,3232.51,3302.50
Ni62,435.53,436.94,39.45,38.09,14.65,3079.95,3126.93,313.34,327.56,334.34,432.11,463.78,339.77,339.52,360.50,346.86,353.91,508.06,500.14,39.66,38.04,19.23,3376.21,3472.48
Cu63,430.04,433.39,40.54,35.33,17.61,0.820,4.14,0.902,1.075,0.915,0.931,5.73,0.830,0.875,0.840,0.99,0.938,466.99,465.69,37.60,38.14,19.41,0.81,4.34
Zn66,434.19,436.66,40.10,38.03,163.36,54.75,63.57,249.22,248.84,253.79,244.30,256.11,253.06,249.92,259.71,261.84,275.97,472.47,473.17,40.03,38.30,181.56,59.25,67.72
