GLITTER! 4.5b1: Laser Ablation Analysis Results

G:\2017-04-20 EMP UPDATED Windows reselected- Do not edit pre 29.09.17 612 standard\run1.b
Created: Fri Sep 29 18:21:09 2017

All values are reported in ppm

GLITTER!: Trace Element Concentrations MDL filtered.
Element,STD610-01,STD610-02,612-01,612-02,BCR-2g-01,SCO-1-01,SCO-2-01,RKV1-1,RKV1-2,RKV1-3,RKV1-4,RKV1-5,RKV1-6,RKV1-7,RKV1-8,RKV1-9,RKV1-10,STD610-03,STD610-04,612-03,612-04,BCR-2g-02,SCO-1-02,SCO-2-02
Element,STD610-01,STD610-02,612-01,612-02,BCR-2g-01,SCO-1-01,SCO-2-01,RKV1-1,RKV1-2,RKV1-3,RKV1-4,RKV1-5,RKV1-6,RKV1-7,RKV1-8,RKV1-9,RKV1-10,STD610-03,STD610-04,612-03,612-04,BCR-2g-02,SCO-1-02,SCO-2-02
Li7,454.43,450.64,39.91,40.57,9.16,1.774,2.393,2.411,2.392,2.547,2.482,0.674,1.688,1.109,1.325,1.548,1.525,458.58,458.03,39.94,40.47,9.17,1.784,2.43
B11,80.04,78.95,34.53,34.16,18.50,31.44,30.30,16.28,16.09,16.33,16.55,19.24,19.54,24.42,19.41,26.93,21.44,112.53,119.11,32.83,36.09,22.52,34.86,36.42
Na23,97652.33,96472.09,101407.37,101977.88,22690.60,39.37,101.70,65.79,64.74,65.06,68.58,64.79,20.05,59.20,91.12,74.04,50.06,100058.88,99422.47,100370.89,103052.04,23168.49,40.33,103.68
Mg24,484.53,483.65,66.86,69.50,22710.71,343208.47,341584.91,337309.22,338641.34,338988.16,344745.56,356920.69,347866.56,351530.78,356568.81,336519.16,351351.75,477.68,482.50,66.86,69.20,23313.79,360887.94,359750.22
Mg25,504.91,504.17,67.79,68.26,24244.97,366209.88,366844.44,358118.28,359434.28,359274.69,366725.41,381777.91,369822.63,377248.81,381364.88,364085.44,380458.94,488.97,504.59,67.90,68.09,24787.51,387373.97,385314.41
Mg26,502.91,493.63,67.15,69.09,24046.23,359988.34,355970.25,354461.81,355565.59,355835.72,353165.50,371392.63,362105.28,366283.22,368944.44,353343.31,368322.66,488.70,490.67,68.10,67.83,24168.88,374668.69,367767.50
Al27,10126.02,9998.13,10730.83,10760.66,75578.74,73.14,141.48,9.94,9.95,9.77,9.62,6.31,5.51,19.80,16.17,22.75,9.16,10086.31,10088.41,10714.07,10774.87,74886.45,73.77,142.80
Si29,309257.38,303543.69,334799.66,340083.41,253301.63,193286.13,193286.13,192164.28,192070.81,192818.70,192164.30,194501.50,195015.69,193800.33,194314.52,191696.86,193987.31,316689.03,314996.69,332306.03,342293.38,255033.47,193286.14,193286.14
Si30,310233.91,315491.41,336594.56,337771.63,252903.33,210475.30,203227.88,204680.98,212062.22,209434.41,207641.86,212263.69,211282.67,221461.67,195054.83,213944.16,190477.84,309771.34,300900.75,333680.19,340856.22,242292.89,196433.83,189760.73
P31,430.09,425.70,43.40,50.99,1436.88,28.11,31.46,49.51,52.09,50.95,49.90,70.57,28.42,48.75,70.57,38.81,16.40,384.89,367.76,43.62,50.04,1230.30,21.24,23.95
